unit_id,sentences,code,coder1,coder2,coder3,coder4,coder5,dataset,document_id,text,url,concreteness,concr_ratings,subjectivity_2-class,subjectivity_4-class
B1592_1,2-3,premise,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1592,"Von der markierten Ecke der Innenstadt kommt man grundsätzlich nicht gut in Richtung Osten (Adenauerallee/Belderberg). Über Regina-Pacis-Weg und Fußgängerampel ist sehr unpraktisch, aber Franziskanerstraße und Rathausgasse funktionieren auch nicht.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt,intermediate concreteness,"[2, 1, 2, 1, 1]",1,2
B1592_2,4-4,mpos,intermediate concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1592,"Könnte man aus mehreren Straßen der Innenstadt (Am Hof, Rathausgasse, Wesselstraße, Am Neutor) nicht beidseitig geöffnete Fahrradstraßen machen?",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradstrassen-der-innenstadt,high concreteness,"[1, 2, 2, 2, 2]",0,1
B1593_1,1-1,premise,low concreteness,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1593,Radweg trifft auf Straße,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse,intermediate concreteness,"[0, 0, 1, 1, 1]",1,2
B1593_2,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1593,"Hier wäre eine breite Einmündung ohne Bordsteinkante und Poller von Vorteil, eine Vorfahrt für Radfahrer*innen sinvoll, da dies eine stark befahrene Pendlerstrecke ist.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1593_3,2-2,premise,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1593,"Hier wäre eine breite Einmündung ohne Bordsteinkante und Poller von Vorteil, eine Vorfahrt für Radfahrer*innen sinvoll, da dies eine stark befahrene Pendlerstrecke ist.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse,high concreteness,"[2, 2, 2, 2, 1]",0,1
B1594_1,1-1,premise,low concreteness,intermediate concreteness,high concreteness,intermediate concreteness,low concreteness,CD_B,B1594,Engstelle führt direkt auf Gleise,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise,intermediate concreteness,"[0, 1, 2, 1, 0]",1,3
B1594_2,2-3,premise,intermediate concreteness,high concreteness,intermediate concreteness,high concreteness,high concreteness,CD_B,B1594,"Diese Stelle ist auch wenig optimal, wenn man aus der Unterführung kommt. Es ist eng, unklar ob Fuß- oder Radweg, danach sofort Straßenbahnschienen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise,high concreteness,"[1, 2, 1, 2, 2]",1,2
B1594_3,4-4,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1594,Die Anbindung an das Beueler Zentrum auch wenig angenehm zu fahren durch die Obere Wilhelmsstraße.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise,intermediate concreteness,"[1, 1, 1, 1, 1]",0,0
B1595_1,1-1,premise,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1595,Gefährliche Einmündung,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung,intermediate concreteness,"[0, 1, 1, 1, 1]",0,1
B1595_2,2-2,mpos,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1595,Eventuell würden Spiegel oder eine bessere Sicht die Situation entschärfen.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung,intermediate concreteness,"[1, 2, 2, 1, 1]",1,2
B1596_1,1-1,mpos,intermediate concreteness,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1596,Radwege neben den Gleisen,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen,intermediate concreteness,"[1, 1, 2, 1, 1]",0,1
B1596_2,2-3,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1596,"Wegen der Straßenbahnschienen ist das Radfahren auf der Friedrich-Breuer-Straße sehr gefahrenträchtig. Wenn man die Geschäfte erreichen will, ist es leider nicht möglich auf die Nebenstraßen auszuweichen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen,high concreteness,"[2, 1, 2, 2, 2]",0,1
B1596_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1596,"Würden die Parkplätze entlang der Friedrich-Breuer-Straße entfernt, würde genug Platz für Radschutzstreifen neben den Gleisen entstehen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1597_1,1-1,mpos,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_B,B1597,Radverbindung in der Innenstadt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbindung-der-innenstadt,intermediate concreteness,"[1, 0, 1, 0, 1]",1,2
B1597_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1597,Von ca. Mitte November bis zum 24.12. jeden Jahres ist die zentrale Fahrradroute durch die Stadt relativ ersatzlos gesperrt. Alternativen bzw. Umleitung sind nur bedingt bis gar nicht ausgewiesen.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbindung-der-innenstadt,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1597_3,5-5,mpos,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1597,Warum nicht vom Friedensplatz über den Bottlerplatz zur Münsterstraße und dann durch die Sürst über den Markt einen Weg freihalten?,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbindung-der-innenstadt,intermediate concreteness,"[2, 1, 2, 1, 1]",1,2
B1598_1,1-1,premise,low concreteness,low concreteness,low concreteness,low concreteness,low concreteness,CD_B,B1598,Ampel auf Radweg,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg,low concreteness,"[0, 0, 0, 0, 0]",0,0
B1598_2,2-4,premise,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1598,Schwierige Situation. Sollen Radler*innen hier wirklich warten müssen? Der Fußgänger*innenverkehr hält sich in Grenzen.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg,intermediate concreteness,"[0, 1, 0, 1, 1]",1,2
B1599_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1599,Parken in zweiter Reihe,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg,intermediate concreteness,"[1, 1, 1, 1, 1]",0,0
B1599_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1599,"Auf der Prinz-Albert-Straße parken regelmäßig Autos in zweiter Reihe. Als Fahrradfahrer muss man in diesem Fall in den Gleisbereich der Straßenbahn ausweichen, was nicht ungefährlich ist.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1601_1,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1601,Auffahrt auf den Südbrücke vom Rhein,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0,intermediate concreteness,"[1, 2, 2, 1, 1]",1,2
B1601_2,2-3,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1601,Genauso wie an der Nordbrücke kann direkt vom Rheinuferweg ein Weg bzw. eine Auffahrt für den Radverkehr geschaffen werden. Das würde den unschönen und lauten Umweg entlang der sehr langen Vorlandbrücke abkürzen und den Zugang zum Rheinufer erleichtern.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1601_3,4-4,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1601,Bei ca. 8 % Steigung wäre es auch ähnlich wie an der Nordbrücke.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0,high concreteness,"[2, 1, 2, 2, 1]",1,2
B1602_1,1-1,premise,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,high concreteness,CD_B,B1602,Fahrradweg fast immer zugeparkt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt,intermediate concreteness,"[1, 1, 1, 1, 2]",0,1
B1602_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1602,An dieser Stelle wird der Fahrradweg von der Straße auf den Gehweg geführt (in beide Richtungen). In beide Richtungen ist hier der Radweg fast jeden Tag durch PKW zugeparkt.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1602_3,4-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1602,"Es müsste hier regelmäßige Kontrollen oder in letzter Instanz Poller oder sonstige Hindernisse geben, die Autofahrer vom Zuparken des Radweges abhalten.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1603_1,1-1,premise,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1603,Wichtige Stellplätze - leider häufig überfüllt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/wichtige-stellplaetze-leider-haeufig-ueberfuellt,intermediate concreteness,"[1, 2, 2, 1, 1]",1,2
B1603_2,2-2,mpos,intermediate concreteness,low concreteness,low concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1603,Die Fahrradparkmöglichkeiten erweitern.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/wichtige-stellplaetze-leider-haeufig-ueberfuellt,intermediate concreteness,"[1, 0, 0, 1, 1]",1,2
B1604_1,1-1,premise,low concreteness,high concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1604,Überfüllte Fahrradständer,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ueberfuellte-fahrradstaender,intermediate concreteness,"[0, 2, 1, 1, 1]",1,2
B1604_2,2-2,mpos,low concreteness,low concreteness,low concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1604,Mehr Stellplätze.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ueberfuellte-fahrradstaender,low concreteness,"[0, 0, 0, 1, 1]",1,2
B1605_1,1-1,mpos,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1605,Gemeinsamer Fuß/Radweg,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gemeinsamer-fussradweg,intermediate concreteness,"[0, 1, 1, 1, 1]",0,1
B1605_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1605,"Die Aufteilung der beiden Wege an der Rheinlust von der Rheinaustraße zum Rhein in einen Fußweg (nördlich) und einen Radweg (südlich) wird von den Nutzern praktisch nicht beachtet. Fußgänger, die über den Zebrastreifen in der Rheinaustraße kommen, nutzen meist den Radweg, während Radfahrer den Fußweg nutzen, da er in gerader Linie von der Friedrich-Breuer-Straße zu erreichen ist. Da beide Wege ziemlich breit sind, sollten sie einfach beide als gemeinsame Fuß- und Radwege ausgezeichnet werden.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gemeinsamer-fussradweg,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1605_3,4-4,mpos,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1605,"Da beide Wege ziemlich breit sind, sollten sie einfach beide als gemeinsame Fuß- und Radwege ausgezeichnet werden.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gemeinsamer-fussradweg,high concreteness,"[2, 1, 2, 2, 2]",0,1
B1606_1,1-1,mpos,low concreteness,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1606,Markierung für Radwegabzweig,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/markierung-fuer-radwegabzweig,intermediate concreteness,"[0, 1, 2, 2, 1]",1,3
B1606_2,2-4,premise,high concreteness,intermediate concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1606,"An dieser Stelle beginnt der Radweg am Rheindorfer Bach entlang. Kommt man aus der Straße Am Probsthof, biegt man links ab und dann direkt an der Fußgängerampel rechts in den Radweg am Bach entlang. Dies irritiert öfters nachfolgende Autofahrer.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/markierung-fuer-radwegabzweig,high concreteness,"[2, 1, 2, 2, 2]",0,1
B1606_3,5-5,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1606,"Ich würde mir eine Markierung auf der Straße wünschen, die deutlich macht, dass hier ein Radweg abzweigt.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/markierung-fuer-radwegabzweig,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1607_1,1-1,mpos,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_B,B1607,Einfahrt ins Tulpenfeld verbessern,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einfahrt-ins-tulpenfeld-verbessern,intermediate concreteness,"[1, 0, 1, 0, 1]",1,2
B1607_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1607,"Die Straße Tulpenfeld ist eine attraktive, weil weitgehend autofreie Alternative zu Heussallee/Winston-Churchill-Straße, außerdem Zufahrt zur Bundesnetzagentur mit rund 1000 Beschäftigten. Die Einfahrten sind aber problematisch: Von der Heussallee gibt es eine überflüssige Schwelle, so dass man in der Heussallee relativ weit links fahren muss, um die Schwelle sicher zu überfahren. Noch deutlich schlechter ist die Einfahrt von der Heinrich-Brüning-Straße wegen der Rechtskurve in die Winston-Churchill-Straße (auch als Querung für Fußgänger).",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einfahrt-ins-tulpenfeld-verbessern,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1607_3,5-5,mpos,high concreteness,low concreteness,intermediate concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1607,Im Bereich der Kurve sollte man deshalb für langsameren Autoverkehr sorgen.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einfahrt-ins-tulpenfeld-verbessern,intermediate concreteness,"[2, 0, 1, 1, 1]",1,2
B1608_1,1-1,mpos,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_B,B1608,"Einrichtung einer Fahrradstraße Wiesenweg, Schubertstraße, Richard-Wagner-Straße, Lisztstraße",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einrichtung-einer-fahrradstrasse-wiesenweg-schubertstrasse-richard-wagner,high concreteness,"[1, 2, 2, 1, 2]",1,2
B1608_2,2-4,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1608,"Einrichtung einer Fahrradstraße Wiesenweg, Schubertstraße, Richard-Wagner-Straße, Lisztstraße. Am Ende dort eine brauchbare Querungsmöglichkeit in richtung Viktoriabrücke. Und zwar an allen Kreuzungen VORFAHRTBERECHTIGT, so dass man nicht andauernd anhalten muss.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einrichtung-einer-fahrradstrasse-wiesenweg-schubertstrasse-richard-wagner,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1608_3,5-6,premise,high concreteness,high concreteness,intermediate concreteness,high concreteness,intermediate concreteness,CD_B,B1608,"Das ist gerade mit Kinderanhänger unangenehm und völlig bescheuert. Die Route wäre eine sichere Alternative zur Endenicher Straße mit den vielen Ampeln, den unsäglichen und viel zu schmalen Schutzstreifen und den vielen Schlaglöchern.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einrichtung-einer-fahrradstrasse-wiesenweg-schubertstrasse-richard-wagner,high concreteness,"[2, 2, 1, 2, 1]",1,2
B1608_4,6-6,mpos,high concreteness,low concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1608,"Die Route wäre eine sichere Alternative zur Endenicher Straße mit den vielen Ampeln, den unsäglichen und viel zu schmalen Schutzstreifen und den vielen Schlaglöchern.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/einrichtung-einer-fahrradstrasse-wiesenweg-schubertstrasse-richard-wagner,high concreteness,"[2, 0, 2, 2, 2]",1,2
B1609_1,1-1,premise,low concreteness,low concreteness,intermediate concreteness,intermediate concreteness,low concreteness,CD_B,B1609,Schutzstreifen völlig unzureichend,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/schutzstreifen-voellig-unzureichend,low concreteness,"[0, 0, 1, 1, 0]",1,2
B1609_2,2-4,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1609,"Der Schutzstreifen ist viel zu schmal, so dass man als Radfahrer permanent vom Autoverkehr bedrängt wird. Schlimmer: Auf dem schmalen Streifen fährt man permanent im Öffnungsbereich der Autotüren - extrem unangenehm und gefährlich! Und hält man en notwendigen Sicherheitsabstand, verlässt man bereits den Schutzstreifen nach links und wird deshalb von Autofahrern bedrängt.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/schutzstreifen-voellig-unzureichend,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1609_3,5-5,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1609,"- Verbesserung: In West-Ost-Richtung einen ordentlich breiten Radfahrstreifen mit Sicherheitsabstand wegen der Autotüren schaffen, auf der anderen Straßenseite - teilweise bergab, d.h. man ist als Radfahrer relativ flott - auf den Streifen verzichten.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/schutzstreifen-voellig-unzureichend,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1610_1,1-1,mpos,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1610,Entfernung der lebensgefährlichen Rille in der Fahrbahn an der Rampe Viktoriabrücke Richtung Weststadt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/entfernung-der-lebensgefaehrlichen-rille-der-fahrbahn-der-rampe,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1610_2,1-1,premise,high concreteness,high concreteness,high concreteness,intermediate concreteness,high concreteness,CD_B,B1610,Entfernung der lebensgefährlichen Rille in der Fahrbahn an der Rampe Viktoriabrücke Richtung Weststadt,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/entfernung-der-lebensgefaehrlichen-rille-der-fahrbahn-der-rampe,high concreteness,"[2, 2, 2, 1, 2]",0,1
B1610_3,2-2,mpos,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1610,Entfernung der lebensgefährlichen schräg längs zum Radweg verlaufenden Rille in der Fahrbahn an der Rampe Viktoriabrücke Richtung Weststadt.,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/entfernung-der-lebensgefaehrlichen-rille-der-fahrbahn-der-rampe,high concreteness,"[2, 2, 2, 2, 1]",0,1
B1610_4,2-5,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1610,"Entfernung der lebensgefährlichen schräg längs zum Radweg verlaufenden Rille in der Fahrbahn an der Rampe Viktoriabrücke Richtung Weststadt. Die ist genau so breit, dass man mit einem Rennradreifen genau reinrutschen kann. Die sieht auch so aus, als wäre sie schon seit Jahzehnten dort. Fährt sich dann wie auf Schienen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/entfernung-der-lebensgefaehrlichen-rille-der-fahrbahn-der-rampe,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1611_1,1-1,premise,intermediate concreteness,low concreteness,intermediate concreteness,low concreteness,intermediate concreteness,CD_B,B1611,Neue Unterführung - größte vertane Chance zur Radverkehrsförderung in Bonn!,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-unterfuehrung-groesste-vertane-chance-zur-radverkehrsfoerderung-bonn,intermediate concreteness,"[1, 0, 1, 0, 1]",1,2
B1611_2,2-3,premise,high concreteness,high concreteness,high concreteness,high concreteness,high concreteness,CD_B,B1611,"Beim Bau des neuen Haltepunktes UN-Campus entsteht immerhin eine Unterführung mit Rampen. Letztere sind aber mit ihren 180°- bzw. 90°-Wenden bzw. Ecken kaum radfahrtauglich, d.h. man wird sie in der Regel als Radfahrer schiebend benutzen müssen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-unterfuehrung-groesste-vertane-chance-zur-radverkehrsfoerderung-bonn,high concreteness,"[2, 2, 2, 2, 2]",0,0
B1611_3,4-5,mpos,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1611,"Eine gerade Rampe aus Richtung Kessenich wäre aber überhaupt kein bauliches Problem gewesen. In Richtung Genscherallee/B9 wäre mit einer geraden Rampe die Joseph-Beuys-Allee zu unterqueren gewesen, und im weiteren Verlauf der Genscherallee wäre eine gerade Rampe ebenfalls ohne Probleme zu realisieren gewesen.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-unterfuehrung-groesste-vertane-chance-zur-radverkehrsfoerderung-bonn,high concreteness,"[2, 2, 2, 2, 1]",0,1
B1611_4,7-7,mpos,high concreteness,high concreteness,high concreteness,high concreteness,intermediate concreteness,CD_B,B1611,Es wäre dann aber eine unglaublich ideale Verknüpfung der Stadtteile Dotterdorf-Kessenich-Südstadt (eher Wohnquartiere) mit den Arbeitsplatzkonzentrationen östlich der B9 und zur Südbrücke geschaffen worden!,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-unterfuehrung-groesste-vertane-chance-zur-radverkehrsfoerderung-bonn,high concreteness,"[2, 2, 2, 2, 1]",0,1
B1611_5,8-8,premise,intermediate concreteness,high concreteness,high concreteness,intermediate concreteness,intermediate concreteness,CD_B,B1611,"Was jetzt gebaut wird, ist eine Billigstlösung zulasten des Fahrradverkehrs, die zeigt, wie in der Fahrradhauptstadt Bonn keinerlei Vision einer effizienten Radverkehrsförderung existiert.",https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/neue-unterfuehrung-groesste-vertane-chance-zur-radverkehrsfoerderung-bonn,intermediate concreteness,"[1, 2, 2, 1, 1]",1,2
